[2023-10-08 16:53:53,971] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1743 > -1744, NEW_1_V_Eug en WO_38_V_Eek zijn hiervoor gewisselt.
[2023-10-08 16:53:54,089] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1737 > -1743, WO_52_M_Ton en WO_67_V_Jea zijn hiervoor gewisselt.
[2023-10-08 16:53:54,302] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1725 > -1737, VW_18 en WO_52 zijn hiervoor gewisselt.
[2023-10-08 16:53:54,404] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1714 > -1725, VW_12 en WO_1 zijn hiervoor gewisselt.
[2023-10-08 16:53:54,744] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1695 > -1714, WO_40 en WO_81 zijn hiervoor gewisselt.
[2023-10-08 16:53:55,053] *kook_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1669 > -1695, VW_43 en VW_51 zijn hiervoor gewisselt.
[2023-10-08 16:53:55,262] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1647 > -1669, VW_62 en WO_71 zijn hiervoor gewisselt.
[2023-10-08 16:53:55,686] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1599 > -1647, VW_32_M_Mic en VW_35_M_Roe zijn hiervoor gewisselt.
[2023-10-08 16:53:55,792] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1581 > -1599, WO_69 en WO_7 zijn hiervoor gewisselt.
[2023-10-08 16:53:56,208] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1566 > -1581, VW_13 en VW_46 zijn hiervoor gewisselt.
[2023-10-08 16:53:56,431] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1513 > -1566, WO_49_M_Joo en WO_85_M_Wil zijn hiervoor gewisselt.
[2023-10-08 16:53:56,756] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1501 > -1513, VW_31_M_Pau en WO_32a_M_Too zijn hiervoor gewisselt.
[2023-10-08 16:53:57,303] *eet_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -1495 > -1501, VW_46_V_Bre en VW_9_V_Rie zijn hiervoor gewisselt.
[2023-10-08 16:53:57,727] *eet_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1488 > -1495, VW_39_V_Ann en WO_50_V_Nic zijn hiervoor gewisselt.
[2023-10-08 16:53:59,357] *kook_gang_optimizer* Bij iteratie: 15, Nieuwe oplossing score van: -1453 > -1488, VW_21 en WO_50 zijn hiervoor gewisselt.
[2023-10-08 16:53:59,473] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1436 > -1453, WO_71_M_Kar en WO_87_V_Mad zijn hiervoor gewisselt.
[2023-10-08 16:53:59,893] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1430 > -1436, WO_33 en WO_7 zijn hiervoor gewisselt.
[2023-10-08 16:54:00,108] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1425 > -1430, VW_13_M_Mar en WO_23_V_Mon zijn hiervoor gewisselt.
[2023-10-08 16:54:00,520] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1423 > -1425, VW_21 en WO_87 zijn hiervoor gewisselt.
[2023-10-08 16:54:01,868] *eet_gang_optimizer* Bij iteratie: 12, Nieuwe oplossing score van: -1394 > -1423, WO_1_M_And en WO_53_M_Ola zijn hiervoor gewisselt.
[2023-10-08 16:54:02,179] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1382 > -1394, WO_32_M_Ber en WO_7_V_Mon zijn hiervoor gewisselt.
[2023-10-08 16:54:02,601] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1378 > -1382, VW_8 en WO_38 zijn hiervoor gewisselt.
[2023-10-08 16:54:02,714] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1372 > -1378, VW_8_V_Let en WO_20_M_Aad zijn hiervoor gewisselt.
[2023-10-08 16:54:02,830] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1371 > -1372, VW_62_V_Ale en WO_16_M_Fre zijn hiervoor gewisselt.
[2023-10-08 16:54:03,559] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -1347 > -1371, WO_13_V_Sim en WO_49_V_Van zijn hiervoor gewisselt.
[2023-10-08 16:54:03,970] *kook_gang_optimizer* Bij iteratie: 3, Nieuwe oplossing score van: -1338 > -1347, VW_25 en WO_87 zijn hiervoor gewisselt.
[2023-10-08 16:54:04,074] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1318 > -1338, WO_51 en WO_79 zijn hiervoor gewisselt.
[2023-10-08 16:54:04,585] *kook_gang_optimizer* Bij iteratie: 4, Nieuwe oplossing score van: -1313 > -1318, VW_18 en WO_77 zijn hiervoor gewisselt.
[2023-10-08 16:54:04,918] *eet_gang_optimizer* Bij iteratie: 2, Nieuwe oplossing score van: -1301 > -1313, VW_62_M_Rob en WO_71_M_Kar zijn hiervoor gewisselt.
[2023-10-08 16:54:05,538] *eet_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -1290 > -1301, VW_23_M_Lar en WO_57_V_May zijn hiervoor gewisselt.
[2023-10-08 16:54:05,753] *kook_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1277 > -1290, VW_25 en VW_39 zijn hiervoor gewisselt.
[2023-10-08 16:54:06,478] *eet_gang_optimizer* Bij iteratie: 6, Nieuwe oplossing score van: -1269 > -1277, VW_33_V_Tru en WO_26_V_Ver zijn hiervoor gewisselt.
[2023-10-08 16:54:07,099] *kook_gang_optimizer* Bij iteratie: 5, Nieuwe oplossing score van: -1257 > -1269, WO_20 en WO_36 zijn hiervoor gewisselt.
[2023-10-08 16:54:07,211] *kook_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1232 > -1257, VW_23 en WO_79 zijn hiervoor gewisselt.
[2023-10-08 16:54:08,637] *kook_gang_optimizer* Bij iteratie: 13, Nieuwe oplossing score van: -1220 > -1232, WO_79 en WO_85 zijn hiervoor gewisselt.
[2023-10-08 16:54:08,754] *eet_gang_optimizer* Bij iteratie: 0, Nieuwe oplossing score van: -1214 > -1220, VW_46_V_Jor en WO_67_V_Jea zijn hiervoor gewisselt.
[2023-10-08 16:54:08,968] *eet_gang_optimizer* Bij iteratie: 1, Nieuwe oplossing score van: -1213 > -1214, WO_16_M_Fre en WO_55_V_Han zijn hiervoor gewisselt.
